Tiempo_s,Energia,Frecuencia,Es_Beat
54.4,0.866,0.146,0
54.5,0.94,0.152,0
54.6,0.416,0.556,1
54.7,0.41,0.429,0
54.8,0.119,0.44,0
54.9,0.104,0.61,0
55.0,0.123,0.46,1
55.1,0.045,0.428,0
55.2,0.842,0.215,0
55.3,0.836,0.306,0
55.4,0.439,0.571,1
55.5,0.378,0.338,0
55.6,0.834,0.244,0
55.7,0.857,0.133,0
55.8,0.4,0.533,1
55.9,0.343,0.339,0
56.0,0.932,0.109,0
56.1,0.917,0.079,0
56.2,0.44,0.488,1
56.3,0.37,0.311,0
56.4,0.836,0.253,0
56.5,0.9,0.049,0
56.6,0.418,0.498,1
56.7,0.371,0.346,0
56.8,0.932,0.12,0
56.9,0.843,0.289,0
57.0,0.379,0.553,1
57.1,0.348,0.302,0
57.2,0.848,0.26,0
57.3,0.857,0.085,0
57.4,0.453,0.443,1
57.5,0.333,0.289,0
57.6,0.965,0.127,0
57.7,0.887,0.061,0
57.8,0.408,0.465,1
57.9,0.344,0.362,0
58.0,0.805,0.268,0
58.1,0.854,0.047,0
58.2,0.366,0.493,1
58.3,0.328,0.287,0
58.4,0.944,0.081,0
58.5,0.901,0.118,0
58.6,0.459,0.462,1
58.7,0.418,0.285,0
58.8,0.818,0.261,0
58.9,0.831,0.037,0
59.0,0.432,0.478,1
59.1,0.346,0.627,0
59.2,0.91,0.096,0
59.3,0.834,0.105,0
59.4,0.46,0.43,1
59.5,0.424,0.29,0
59.6,0.815,0.254,0
59.7,0.736,0.115,0
59.8,0.371,0.451,1
59.9,0.351,0.309,0
60.0,0.941,0.064,0
60.1,0.816,0.038,0
60.2,0.42,0.437,1
60.3,0.35,0.238,0
60.4,0.816,0.275,0
60.5,0.708,0.331,0
60.6,0.447,0.408,1
60.7,0.389,0.301,0
60.8,0.92,0.092,0
60.9,0.778,0.102,0
61.0,0.428,0.386,1
61.1,0.363,0.225,0
61.2,0.802,0.25,0
61.3,0.704,0.098,0
61.4,0.434,0.401,1
61.5,0.335,0.227,0
61.6,0.936,0.088,0
61.7,0.682,0.219,0
61.8,0.454,0.386,1
61.9,0.327,0.291,0
62.0,0.858,0.236,0
62.1,0.727,0.048,1
62.2,0.359,0.375,0
62.3,0.328,0.323,0
62.4,0.97,0.053,0
62.5,0.655,0.076,0
62.6,0.358,0.335,1
62.7,0.297,0.279,0
62.8,0.841,0.208,0
62.9,0.695,0.118,1
63.0,0.395,0.357,0
63.1,0.322,0.326,0
63.2,0.888,0.184,0
63.3,0.603,0.378,1
63.4,0.368,0.39,0
63.5,0.323,0.21,0
63.6,0.874,0.186,0
63.7,0.562,0.275,1
63.8,0.354,0.412,0
63.9,0.388,0.375,0
64.0,0.921,0.121,0
64.1,0.644,0.284,1
64.2,0.362,0.395,0
64.3,0.367,0.268,0
64.4,0.853,0.213,0
64.5,0.552,0.366,1
64.6,0.364,0.424,0
64.7,0.445,0.28,0
64.8,0.941,0.089,0
64.9,0.634,0.187,1
65.0,0.459,0.3,0
65.1,0.494,0.253,0
65.2,0.892,0.145,0
65.3,0.539,0.213,1
65.4,0.342,0.355,0
65.5,0.584,0.216,0
65.6,0.918,0.043,0
65.7,0.552,0.266,1
65.8,0.427,0.403,0
65.9,0.542,0.384,0
66.0,0.912,0.21,0
66.1,0.538,0.443,1
66.2,0.38,0.335,0
66.3,0.624,0.222,0
66.4,0.965,0.174,0
66.5,0.491,0.415,1
66.6,0.358,0.362,0
66.7,0.618,0.274,0
66.8,0.835,0.306,0
66.9,0.463,0.442,1
67.0,0.365,0.324,0
67.1,0.695,0.175,0
67.2,0.896,0.052,0
67.3,0.434,0.473,1
67.4,0.383,0.428,0
67.5,0.216,0.578,0
67.6,0.096,0.599,0
67.7,0.094,0.657,1
67.8,0.134,0.564,0
67.9,0.068,0.635,0
68.0,0.027,0.779,0
68.1,0.16,0.226,1
68.2,0.136,0.274,0
68.3,0.128,0.246,0
68.4,0.113,0.546,0
68.5,0.193,0.405,1
68.6,0.073,0.235,0
68.7,0.281,0.252,0
68.8,0.039,0.401,0
68.9,0.293,0.314,1
69.0,0.131,0.518,0
69.1,0.293,0.21,0
69.2,0.113,0.445,0
69.3,0.31,0.249,1
69.4,0.063,0.752,0
69.5,0.334,0.546,0
69.6,0.218,0.466,0
69.7,0.15,0.519,1
69.8,0.212,0.325,0
69.9,0.278,0.44,0
70.0,0.145,0.346,0
70.1,0.162,0.499,1
70.2,0.15,0.241,0
70.3,0.296,0.411,0
70.4,0.12,0.298,0
70.5,0.217,0.469,1
70.6,0.22,0.343,0
70.7,0.319,0.45,0
70.8,0.121,0.222,0
70.9,0.255,0.412,1
71.0,0.221,0.434,0
71.1,0.327,0.347,0
71.2,0.204,0.198,0
71.3,0.209,0.298,1
71.4,0.166,0.263,0
71.5,0.281,0.444,0
71.6,0.134,0.868,1
71.7,0.179,0.4,0
71.8,0.161,0.296,0
71.9,0.274,0.423,1
72.0,0.127,0.31,0
72.1,0.181,0.326,0
72.2,0.155,0.245,0
72.3,0.294,0.364,1
72.4,0.114,0.27,0
72.5,0.191,0.38,0
72.6,0.102,0.333,0
72.7,0.313,0.332,1
72.8,0.161,0.388,0
72.9,0.208,0.479,0
73.0,0.166,0.363,0
73.1,0.274,0.391,1
73.2,0.098,0.225,0
73.3,0.261,0.423,0
73.4,0.195,0.469,0
73.5,0.328,0.344,1
73.6,0.097,0.316,0
73.7,0.246,0.459,0
73.8,0.186,0.519,0
73.9,0.258,0.355,1
74.0,0.182,0.256,0
74.1,0.208,0.342,0
74.2,0.178,0.338,0
74.3,0.295,0.26,1
74.4,0.098,0.318,0
74.5,0.18,0.264,0
74.6,0.252,0.436,0
74.7,0.3,0.324,1
74.8,0.109,0.255,0
74.9,0.17,0.352,0
75.0,0.104,0.285,0
75.1,0.31,0.357,1
75.2,0.133,0.478,0
75.3,0.226,0.375,0
75.4,0.158,0.313,1
75.5,0.269,0.412,0
75.6,0.114,0.276,0
75.7,0.227,0.344,0
75.8,0.125,0.319,1
75.9,0.28,0.39,0
76.0,0.138,0.3,0
76.1,0.205,0.484,0
76.2,0.209,0.318,0
76.3,0.3,0.355,1
76.4,0.093,0.283,0
76.5,0.217,0.396,0
76.6,0.166,0.238,1
76.7,0.291,0.385,0
76.8,0.143,0.405,0
76.9,0.216,0.383,0
77.0,0.159,0.428,0
77.1,0.259,0.666,1
77.2,0.094,0.358,0
77.3,0.211,0.439,0
77.4,0.201,0.405,0
77.5,0.261,0.39,1
77.6,0.144,0.477,0
77.7,0.19,0.377,0
77.8,0.147,0.279,0
77.9,0.269,0.42,1
78.0,0.145,0.21,0
78.1,0.202,0.288,0
78.2,0.188,0.287,0
78.3,0.247,0.352,1
78.4,0.15,0.287,0
78.5,0.212,0.231,0
78.6,0.197,0.248,0
78.7,0.241,0.471,1
78.8,0.104,0.708,0
78.9,0.229,0.339,0
79.0,0.122,0.366,0
79.1,0.299,0.363,1
79.2,0.118,0.257,0
79.3,0.219,0.41,0
79.4,0.179,0.389,0
79.5,0.265,0.378,1
79.6,0.167,0.554,0
79.7,0.207,0.686,0
79.8,0.176,0.785,0
79.9,0.246,0.381,1
80.0,0.104,0.336,0
80.1,0.216,0.374,0
80.2,0.203,0.282,0
80.3,0.198,0.373,1
80.4,0.165,0.474,0
80.5,0.212,0.421,0
80.6,0.172,0.32,0
80.7,0.174,0.305,1
80.8,0.121,0.473,0
80.9,0.149,0.328,0
81.0,0.15,0.384,1
81.1,0.198,0.397,0
81.2,0.127,0.594,0
81.3,0.156,0.372,0
81.4,0.149,0.495,1
81.5,0.246,0.452,0
81.6,0.122,0.507,0
81.7,0.174,0.435,0
81.8,0.189,0.468,1
81.9,0.196,0.476,0
82.0,0.194,0.498,0
82.1,0.173,0.596,0
82.2,0.456,0.398,1
82.3,0.514,0.366,0
82.4,0.161,0.429,0
82.5,0.162,0.439,0
82.6,0.168,0.307,1
82.7,0.098,0.456,0
82.8,0.193,0.258,0
82.9,0.15,0.417,0
83.0,0.149,0.275,1
83.1,0.082,0.289,0
83.2,0.2,0.34,0
83.3,0.146,0.409,0
83.4,0.137,0.248,1
83.5,0.082,0.243,0
83.6,0.214,0.339,0
83.7,0.157,0.441,0
83.8,0.27,0.457,1
83.9,0.13,0.582,0
84.0,0.172,0.522,0
84.1,0.135,0.254,0
84.2,0.125,0.184,1
84.3,0.074,0.222,0
84.4,0.163,0.305,0
84.5,0.121,0.41,0
84.6,0.13,0.408,1
84.7,0.068,0.456,0
84.8,0.181,0.364,0
84.9,0.11,0.406,0
85.0,0.14,0.308,1
85.1,0.092,0.266,0
85.2,0.175,0.438,0
85.3,0.125,0.403,0
85.4,0.18,0.318,1
85.5,0.097,0.377,0
85.6,0.119,0.375,0
85.7,0.146,0.319,0
85.8,0.146,0.315,1
85.9,0.058,0.383,0
86.0,0.147,0.437,0
86.1,0.115,0.911,0
86.2,0.156,0.45,1
86.3,0.102,0.436,0
86.4,0.161,0.374,0
86.5,0.134,0.438,0
86.6,0.133,0.395,1
86.7,0.053,0.576,0
86.8,0.189,0.4,0
86.9,0.153,0.411,0
87.0,0.154,0.384,1
87.1,0.062,0.373,0
87.2,0.108,0.442,0
87.3,0.061,0.457,0
87.4,0.233,0.482,1
87.5,0.128,0.596,0
87.6,0.189,0.519,0
87.7,0.16,0.356,0
87.8,0.144,0.439,1
87.9,0.079,0.448,0
88.0,0.17,0.445,0
88.1,0.081,0.452,0
88.2,0.161,0.426,1
88.3,0.129,0.498,0
88.4,0.191,0.423,0
88.5,0.116,0.428,0
88.6,0.196,0.525,1
88.7,0.174,0.558,0
88.8,0.129,0.542,0
88.9,0.16,0.493,0
89.0,0.144,0.478,1
89.1,0.112,0.553,0
89.2,0.192,0.467,0
89.3,0.155,0.478,0
89.4,0.134,0.438,1
89.5,0.107,0.532,0
89.6,0.169,0.482,0
89.7,0.138,0.509,0
89.8,0.085,0.562,1
89.9,0.093,0.547,0
90.0,0.176,0.509,0
90.1,0.18,0.512,0
90.2,0.172,0.548,1
90.3,0.134,0.604,0
90.4,0.144,0.55,0
90.5,0.089,0.578,0
90.6,0.074,0.624,1
90.7,0.089,0.707,0
90.8,0.151,0.587,0
90.9,0.139,0.565,0
91.0,0.135,0.56,1
91.1,0.125,0.594,0
91.2,0.164,0.538,0
91.3,0.095,0.628,0
91.4,0.136,0.623,1
91.5,0.126,0.675,0
91.6,0.147,0.599,0
91.7,0.142,0.561,1
91.8,0.139,0.522,0
91.9,0.096,0.581,0
92.0,0.091,0.586,0
92.1,0.085,0.644,1
92.2,0.088,0.618,0
92.3,0.092,0.655,0
92.4,0.094,0.678,0
92.5,0.098,0.642,1
92.6,0.122,0.531,0
92.7,0.109,0.585,0
92.8,0.182,0.614,0
92.9,0.179,0.606,1
93.0,0.17,0.624,0
93.1,0.154,0.648,0
93.2,0.173,0.559,0
93.3,0.138,0.593,1
93.4,0.192,0.579,0
93.5,0.176,0.615,0
93.6,0.134,0.645,0
93.7,0.171,0.669,1
93.8,0.216,0.632,0
93.9,0.206,0.654,0
94.0,0.162,0.647,0
94.1,0.181,0.608,1
94.2,0.156,0.605,0
94.3,0.132,0.676,0
94.4,0.219,0.552,0
94.5,0.154,0.586,1
94.6,0.12,0.54,0
94.7,0.077,0.586,0
94.8,0.147,0.415,0
94.9,0.434,0.289,1
95.0,0.851,0.3,0
95.1,0.502,0.361,0
95.2,0.377,0.364,1
95.3,0.526,0.27,0
95.4,0.942,0.131,0
95.5,0.552,0.268,1
95.6,0.365,0.336,0
95.7,0.594,0.273,0
95.8,0.94,0.084,0
95.9,0.561,0.348,1
96.0,0.398,0.357,0
96.1,0.628,0.193,0
96.2,0.962,0.034,0
96.3,0.462,0.331,1
96.4,0.41,0.332,0
96.5,0.669,0.242,0
