test_id,joint,amplitude_deg,frequency_hz,time_s,q_deseado_deg,q_medido_deg,error_deg
1,wrist,10.0,0.05,10.22883939743042,-0.7183010445614612,2.0527859237536656,-2.7710869683151267
1,wrist,10.0,0.05,10.279013872146606,-0.8754258895040445,2.0527859237536656,-2.92821181325771
1,wrist,10.0,0.05,10.329208135604858,-1.0323950621522187,2.0527859237536656,-3.0851809859058843
1,wrist,10.0,0.05,10.379379510879517,-1.1890361283809328,2.0527859237536656,-3.2418220521345984
1,wrist,10.0,0.05,10.42955732345581,-1.3454018427445036,0.8797653958944283,-2.2251672386389316
1,wrist,10.0,0.05,10.479748725891113,-1.5014754439560378,0.8797653958944283,-2.381240839850466
1,wrist,10.0,0.05,10.529908180236816,-1.6570767566647868,0.8797653958944283,-2.536842152559215
1,wrist,10.0,0.05,10.5799880027771,-1.8120205698278085,0.8797653958944283,-2.6917859657222367
1,wrist,10.0,0.05,10.630168437957764,-1.9668257763235029,0.8797653958944283,-2.846591172217931
1,wrist,10.0,0.05,10.680343627929688,-2.121126085897586,0.8797653958944283,-3.0008914817920145
1,wrist,10.0,0.05,10.73051905632019,-2.2749000949055405,-0.0,-2.2749000949055405
1,wrist,10.0,0.05,10.780690670013428,-2.4280972352436896,-0.0,-2.4280972352436896
1,wrist,10.0,0.05,10.830827236175537,-2.58058478384737,-0.0,-2.58058478384737
1,wrist,10.0,0.05,10.881001472473145,-2.7325459693497827,-0.0,-2.7325459693497827
1,wrist,10.0,0.05,10.9311842918396,-2.8838540519384015,-0.0,-2.8838540519384015
1,wrist,10.0,0.05,10.981353044509888,-3.0344032657233635,-0.0,-3.0344032657233635
1,wrist,10.0,0.05,11.031429052352905,-3.1839225215911844,-0.8797653958944283,-2.304157125696756
1,wrist,10.0,0.05,11.0816011428833,-3.332938397181659,-0.8797653958944283,-2.453173001287231
1,wrist,10.0,0.05,11.13178563117981,-3.4811627622732018,-0.8797653958944283,-2.6013973663787735
1,wrist,10.0,0.05,11.181955099105835,-3.6284778806012956,-0.8797653958944283,-2.7487124847068674
1,wrist,10.0,0.05,11.232025861740112,-3.7746044961665004,-1.1730205278592374,-2.601583968307263
1,wrist,10.0,0.05,11.282203435897827,-3.9201058492705347,-1.1730205278592374,-2.7470853214112974
1,wrist,10.0,0.05,11.332380056381226,-4.0646303552746454,-1.1730205278592374,-2.891609827415408
1,wrist,10.0,0.05,11.38247299194336,-4.20790638308363,-2.0527859237536656,-2.1551204593299644
1,wrist,10.0,0.05,11.43264651298523,-4.350368265822716,-2.0527859237536656,-2.2975823420690507
1,wrist,10.0,0.05,11.482717990875244,-4.491462876537345,-2.0527859237536656,-2.4386769527836796
1,wrist,10.0,0.05,11.532876968383789,-4.631689742196087,-2.3460410557184748,-2.2856486864776127
